Гурт/Співак,Назва Альбому
Donna Summer,Bad Girls
Death,Symbolic
Fleetwood Mac,Tusk
Aphex Twin,Selected Ambient Works Volume II
Sade,Love Deluxe
War,The World is a Ghetto
Deerhunter,Halcyon Digest
Otis Redding,Otis Blue/Otis Redding Sings Soul
The Stooges,Raw Power
Television,Marquee Moon
Smashing Pumpkins,Siamese Dream
Beastie Boys,Paul’s Boutique
Kanye West,The Life of Pablo
Nina Simone,I Put a Spell on You
SOPHIE,Oil of Every Pearl’s Un-Insides
Pixies,Surfer Rosa
Radiohead,In Rainbows
D’Angelo,Voodoo
Alice Coltrane,Journey in Satchidananda
Black Sabbath,Paranoid
Mingus,The Black Saint and the Sinner Lady
Erykah Badu,Baduizm
The Replacements,Let It Be
Little Richard,Here’s Little Richard
Bob Dylan,Blonde on Blonde
Smokey Robinson & The Miracles,Going to a Go-Go
Kendrick Lamar,"good kid, m.A.A.d city"
Madonna,Like a Prayer
my bloody valentine,loveless
Nas,Illmatic
Aretha Franklin,Lady Soul
A Tribe Called Quest,The Low End Theory
Michael Jackson,Off the Wall
Nirvana,Nevermind
Ray Charles,Modern Sounds in Country and Western Music
Hüsker Dü,New Day Rising
The Beatles,The Beatles
Lucinda Williams,Car Wheels on a Gravel Road
Hole,Live Through This
Notorious B.I.G.,Ready to Die
Van Morrison,Astral Weeks
Pharoah Sanders,Karma
Stevie Wonder,Innervisions
Beyoncé,Lemonade
Wu-Tang Clan,Enter the Wu-Tang Clan (36 Chambers)
R.E.M.,Automatic For the People
Joni Mitchell,The Hissing of Summer Lawns
Novos Baianos,Acabou Chorare
Johnny Cash,At Folsom Prison
Frank Ocean,Blonde
Julee Cruise,Floating into the Night
Miles Davis,Kind of Blue
The Roots,Things Fall Apart
The Beatles,Revolver
De La Soul,3 Feet High and Rising
Cocteau Twins,Heaven or Las Vegas
PJ Harvey,To Bring You My Love
The Replacements,Tim
Patti Smith,Horses
Neil Young,On the Beach
Sufjan Stevens,Illinois
The Rolling Stones,Exile on Main St.
Amy Winehouse,Back to Black
John Coltrane,A Love Supreme
David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders From Mars
Carole King,Tapestry
Billie Holiday,Lady in Satin
Björk,Post
Bob Dylan,Blood on the Tracks
Fiona Apple,The Idler Wheel is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do
Lauryn Hill,The Miseducation of Lauryn Hill
The Jimi Hendrix Experience,Electric Ladyland
The Beatles,Sgt. Pepper’s Lonely Hearts Club Band
Talking Heads,Remain in Light
Sam Cooke,"Live at the Harlem Square Club, 1963"
The Clash,London Calling
Kendrick Lamar,To Pimp a Butterfly
The Velvet Underground,The Velvet Underground & Nico
Wilco,Yankee Hotel Foxtrot
Prince,Purple Rain
Fleetwood Mac,Rumours
Funkadelic,Maggot Brain
Janet Jackson,Velvet Rope
Bruce Springsteen,Born to Run
Joni Mitchell,Blue
Marvin Gaye,What’s Going On
Miles Davis,Bitches Brew
Public Enemy,It Takes a Nation of Millions to Hold Us Back
The Beach Boys,Pet Sounds
Milton Nascimento & Lô Borges,Clube da Esquina
Nina Simone,Wild is the Wind
Fishmans,Long Season
OutKast,Stankonia
The Beatles,Abbey Road
Prince,Sign o’ the Times
Kate Bush,Hounds of Love
The Cure,Disintegration
Stevie Wonder,Songs in the Key of Life
